_id,NAMA,BA1,BA2,BA3,BA4,BA5,BA10,BA11,BA12,BA13,NO TEL,JENIS,TARIKH,X,Y
13,KLINIK DESA MACHANG BUBOK,-,-,-,14020,PULAU PINANG,-,MACHANG BUBOK,-,BUKIT MERTAJAM,04-5515985,KLINIK DESA,2013-12-31T00:00:00,100.5129,5.3399
14,KLINIK DESA PERMATANG RAWA,-,-,-,14000,PULAU PINANG,-,PERMATANG RAWA,-,BUKIT MERTAJAM,04-5372541,KLINIK DESA,2013-12-31T00:00:00,100.4534,5.3690
15,KLINIK KESIHATAN KUBANG SEMANG,-,LOT 807,-,14400,PULAU PINANG,-,MUKIM 5,KUBANG SEMANG,BUKIT MERTAJAM,04-5390654,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4639,5.3975
16,KLINIK DESA BUKIT INDERA MUDA,-,-,-,14400,PULAU PINANG,-,BUKIT INDERA MUDA,-,PENANTI,04-5383761,KLINIK DESA,2013-12-31T00:00:00,100.4521,5.4076
17,KLINIK DESA PERMATANG PASIR,-,-,-,14000,PULAU PINANG,-,PERMATANG PASIR,-,BUKIT MERTAJAM,04-8665539,KLINIK DESA,2017-02-07T00:00:00,100.4380,5.4153
18,KLINIK DESA PADANG IBU,-,-,-,14400,PULAU PINANG,-,PADANG IBU,-,PENANTI,04-5213160,KLINIK DESA,2013-12-31T00:00:00,100.4679,5.4251
19,KLINIK DESA SUNGAI LEMBU,-,-,-,14000,PULAU PINANG,-,SUNGAI LEMBU,-,BUKIT MERTAJAM,04-5213689,KLINIK DESA,2013-12-31T00:00:00,100.5226,5.3915
20,HOSPITAL SEBERANG JAYA,-,-,JALAN TUN HUSSEIN ONN,13700,PULAU PINANG,-,-,SEBERANG JAYA,PERAI,04-3827333,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.4082,5.3944
21,KLINIK KESIHATAN SEBERANG JAYA,-,LOT 340,JALAN PERPUSTAKAAN,13700,PULAU PINANG,-,MUKIM 1,BANDAR SUNWAY,SEBERANG JAYA,04-3900264,KLINIK KESIHATAN,2014-12-15T00:00:00,100.3984,5.3935
22,KLINIK KESIHATAN IBU DAN ANAK SUNGAI BAKAP,-,-,JALAN BESAR,14200,PULAU PINANG,-,-,-,SUNGAI BAKAP,04-5824205,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.4980,5.2175
23,KLINIK KESIHATAN BERAPIT,-,LOT 89,-,14000,PULAU PINANG,-,MUKM 17,BERAPIT,BUKIT MERTAJAM,04-5395400,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4746,5.3764
24,KLINIK KESIHATAN SUNGAI DUA,-,LOT 2349,JALAN PENGKALAN MACHANG,13800,PULAU PINANG,-,MUKIM 11,SUNGAI DUA,BUTTERWORTH,04-3564355,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4307,5.4418
25,KLINIK KESIHATAN MAK MANDIN,-,LOT 2882,JALAN MAK MANDIN,13400,PULAU PINANG,-,SEKSYEN 3,MAK MANDIN,BUTTERWORTH,04-3244685,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3892,5.4211
26,KLINIK KESIHATAN SUNGAI ACHEH,-,LOT 1376,JALAN SUNGAI ACHEH,14300,PULAU PINANG,-,SUNGAI ACHEH,-,NIBONG TEBAL,04-5981733,KLINIK KESIHATAN,2017-02-07T00:00:00,100.4227,5.1502
27,KLINIK KESIHATAN NIBONG TEBAL,-,LOT 320,JALAN KLINIK,14300,PULAU PINANG,-,MUKIM 17,-,NIBONG TEBAL,04-5931355,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4737,5.1635
28,KLINIK KESIHATAN BUKIT MINYAK,-,LOT 106,-,14000,PULAU PINANG,-,MUKIM14,BUKIT MINYAK,BUKIT MERTAJAM,04-5071355,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4484,5.3267
29,KLINIK KESIHATAN TASEK GELUGOR,-,LOT 1944,-,13300,PULAU PINANG,-,MUKIM 12,-,TASEK GELUGOR,04-5731204,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4914,5.4842
30,KLINIK DESA BAGAN AJAM,-,-,JALAN BAGAN AJAM,13000,PULAU PINANG,-,-,BAGAN AJAM,BUTTERWORTH,04-3240060,KLINIK DESA,2013-12-31T00:00:00,100.3829,5.4474
31,KLINIK DESA SUNGAI PUYU,-,-,JALAN SUNGAI PUYU,13020,PULAU PINANG,-,SUNGAI PUYU,-,BUTTERWORTH,04-3240050,KLINIK DESA,2013-12-31T00:00:00,100.3961,5.4460
32,KLINIK DESA LAHAR YOOI,-,-,-,13300,PULAU PINANG,-,LAHAR YOOI,-,TASEK GELUGOR,04-5736798,KLINIK DESA,2013-12-31T00:00:00,100.4615,5.4664
33,KLINIK DESA POKOK SENA,-,-,-,13200,PULAU PINANG,-,POKOK SENA,-,KEPALA BATAS,04-5759129,KLINIK DESA,2013-12-31T00:00:00,100.4507,5.4845
34,KLINIK DESA PERMATANG BULOH,-,-,-,13200,PULAU PINANG,-,PERMATANG BULOH,-,KEPALA BATAS,04-5741014,KLINIK DESA,2013-12-31T00:00:00,100.4266,5.4804
35,KLINIK DESA PEKAN DARAT,-,-,-,13300,PULAU PINANG,-,PEKAN DARAT,-,BUTTERWORTH,04-3515759,KLINIK DESA,2013-12-31T00:00:00,100.4017,5.4787
36,KLINIK DESA PERMATANG SINTOK,-,-,-,13100,PULAU PINANG,-,PERMATANG SINTOK,-,KEPALA BATAS,04-5759136,KLINIK DESA,2013-12-31T00:00:00,100.4040,5.5114
37,KLINIK DESA LAHAR KEPAR,-,-,-,13200,PULAU PINANG,-,LAHAR KEPAR,-,KEPALA BATAS,04-5759112,KLINIK DESA,2013-12-31T00:00:00,100.4167,5.5381
38,KLINIK DESA BUMBUNG LIMA,-,-,-,13200,PULAU PINANG,-,BUMBUNG LIMA,-,KEPALA BATAS,04-5759110,KLINIK DESA,2013-12-31T00:00:00,100.4360,5.5536
39,KLINIK DESA TOK BEDU,-,-,-,13300,PULAU PINANG,-,TOK BEDU,-,TASEK GELUGOR,04-5733720,KLINIK DESA,2013-12-31T00:00:00,100.4823,5.5061
40,KLINIK DESA KAMPUNG SELAMAT,-,-,-,13300,PULAU PINANG,-,KAMPUNG SELAMAT,-,TASEK GELUGOR,04-5736800,KLINIK DESA,2013-12-31T00:00:00,100.5223,5.5044
41,KLINIK DESA PINANG TUNGGAL,-,-,-,13200,PULAU PINANG,-,-,PINANG TUNGGAL,KEPALA BATAS,04-5736797,KLINIK DESA,2013-12-31T00:00:00,100.5040,5.5518
42,KLINIK DESA PADANG MENORA,-,-,-,13310,PULAU PINANG,-,PADANG MENORA,-,TASEK GELUGOR,04-5736796,KLINIK DESA,2013-12-31T00:00:00,100.4747,5.4558
43,KLINIK DESA PERMATANG JANGGUS,-,-,-,13100,PULAU PINANG,-,PERMATANG JANGGUS,-,PENAGA,04-5763360,KLINIK DESA,2013-12-31T00:00:00,100.3896,5.5556
44,KLINIK DESA CHANGKAT,-,-,-,14300,PULAU PINANG,-,CHANGKAT,-,NIBONG TEBAL,04-5938949,KLINIK DESA,2013-12-31T00:00:00,100.4701,5.1987
45,KLINIK DESA PERMATANG TOK MAHAT,-,-,-,14300,PULAU PINANG,-,PERMATANG TOK MAHAT,-,NIBONG TEBAL,05-7171941,KLINIK DESA,2013-12-31T00:00:00,100.4764,5.1312
46,KLINIK DESA SUNGAI BAKAU,-,-,-,14300,PULAU PINANG,-,SUNGAI BAKAU,-,NIBONG TEBAL,04-5982978,KLINIK DESA,2013-12-31T00:00:00,100.4194,5.1254
47,KLINIK DESA TANJUNG BEREMBANG,-,-,-,14300,PULAU PINANG,-,TANJUNG BEREMBANG,-,NIBONG TEBAL,04-5939211,KLINIK DESA,2013-12-31T00:00:00,100.4617,5.1502
48,KLINIK DESA BATU KAWAN,-,-,-,14100,PULAU PINANG,-,BATU KAWAN,-,SIMPANG AMPAT,04-5885293,KLINIK DESA,2013-12-31T00:00:00,100.4207,5.2659
49,KLINIK DESA TASEK,-,-,-,14100,PULAU PINANG,-,TASEK,-,SIMPANG AMPAT,04-5884348,KLINIK DESA,2013-12-31T00:00:00,100.5158,5.2849
50,KLINIK DESA BUKIT TAMBUN,-,-,-,14100,PULAU PINANG,-,-,BUKIT TAMBUN,SIMPANG AMPAT,04-5884350,KLINIK DESA,2013-12-31T00:00:00,100.4488,5.2742
51,KLINIK DESA PULAU AMAN,-,-,-,14100,PULAU PINANG,-,PULAU AMAN,-,SIMPANG AMPAT,04-5822092,KLINIK DESA,2013-12-31T00:00:00,100.3919,5.2666
52,KLINIK DESA WELLESLEY,-,-,-,14200,PULAU PINANG,-,WELLESLEY,-,SUNGAI BAKAP,04-5829844,KLINIK DESA,2013-12-31T00:00:00,100.5147,5.2112
53,KLINIK DESA SUNGAI DURI,-,-,-,14200,PULAU PINANG,-,SUNGAI DURI,-,SUNGAI BAKAP,04-5829233,KLINIK DESA,2013-12-31T00:00:00,100.5305,5.2088
54,KLINIK DESA VALDOR,-,-,-,14200,PULAU PINANG,-,VALDOR,-,SUNGAI BAKAP,04-5826535,KLINIK DESA,2013-12-31T00:00:00,100.4918,5.2403
55,KLINIK KESIHATAN JALAN MACALISTER,-,LOT 1762,JALAN MACALISTER,10400,PULAU PINANG,-,-,-,GEORGE TOWN,04-2289610,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3260,5.4149
56,HOSPITAL PULAU PINANG,-,-,JALAN RESIDENSI,10990,PULAU PINANG,-,-,-,GEORGE TOWN,04-2225333,HOSPITAL KERAJAAN,2017-02-07T00:00:00,100.3107,5.4164
57,HOSPITAL BERSALIN PULAU PINANG,-,-,JALAN RESIDENSI,10990,PULAU PINANG,-,-,-,GEORGE TOWN,04-2225369,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.3096,5.4202
58,KLINIK KESIHATAN BUKIT BENDERA,-,-,-,11500,PULAU PINANG,-,-,BUKIT BENDERA,-,04-8299406,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2691,5.4245
59,HOSPITAL BALIK PULAU,-,-,JALAN HOSPITAL,11000,PULAU PINANG,-,-,-,BALIK PULAU,04-8669333,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.2335,5.3505
60,KLINIK KESIHATAN IBU DAN ANAK AIR PUTIH,-,"LOT 312, JKR 2761 (P)",-,11000,PULAU PINANG,-,MUKIM E,AIR PUTIH,BALIK PULAU,04-8660287,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.2174,5.3637
61,KLINIK KESIHATAN TELUK BAHANG,-,LOT 669,-,11050,PULAU PINANG,-,MUKIM 2,TELUK BAHANG,-,04-8851951,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2150,5.4557
62,KLINIK DESA PANTAI ACHEH,-,-,-,11010,PULAU PINANG,-,PANTAI ACHEH,-,BALIK PULAU,TIADA,KLINIK DESA,2013-12-31T00:00:00,100.1964,5.4152
63,KLINIK DESA SUNGAI PINANG,-,-,-,11010,PULAU PINANG,-,SUNGAI PINANG,-,BALIK PULAU,04-8661726,KLINIK DESA,2013-12-31T00:00:00,100.2108,5.3940
64,HOSPITAL BUKIT MERTAJAM,-,-,JALAN KULIM,14000,PULAU PINANG,-,-,-,BUKIT MERTAJAM,04-5497333,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.4646,5.3599
65,KLINIK PERGIGIAN KANAK-KANAK,-,-,JALAN SEPOY LINES,10450,PULAU PINANG,3,-,-,GEORGE TOWN,04-2299233,KLINIK PERGIGIAN,2013-12-31T00:00:00,100.3081,5.4194
66,KLINIK KESIHATAN IBU DAN ANAK PADANG TEMBAK / RIFLE RANGE,-,-,JALAN PADANG TEMBAK,11400,PULAU PINANG,BLOK A,RUMAH PANGSA PADANG TEMBAK,PADANG TEMBAK,AYER ITAM,04-8296355,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.2888,5.4114
67,KLINIK KESIHATAN JALAN PERAK,-,LOT 808,JALAN PERAK,10400,PULAU PINANG,-,SEKSYEN 2,-,GEORGE TOWN,04-2812033,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3146,5.4027
68,KLINIK KESIHATAN BUKIT JAMBUL,POLIKLINIK KOMUNITI BUKIT JAMBUL,-,JALAN TUN DR AWANG,11900,PULAU PINANG,BLOK B,TAMAN BUKIT JAMBUL,BUKIT JAMBUL,BAYAN LEPAS,04-6448521,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2893,5.3364
69,KLINIK KESIHATAN IBU DAN ANAK TAMAN TUN SARDON,-,-,-,11700,PULAU PINANG,"BLOK A-G-9, TINGKAT BAWAH",TAMAN TUN SARDON,-,GLUGOR,04-6571592,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.3058,5.3685
70,KLINIK KESIHATAN IBU DAN ANAK TANJONG TOKONG,-,-,JALAN TANJONG TOKONG,10470,PULAU PINANG,A-G-3 & A-G-4,RUMAH PANGSA TANJONG TOKONG,-,TANJONG TOKONG,04-8993727,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.3062,5.4625
71,HOSPITAL KEPALA BATAS,-,-,JALAN BERTAM,13200,PULAU PINANG,-,-,-,KEPALA BATAS,04-5793333,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.4377,5.5117
72,KLINIK DESA PERMATANG BENDAHARI,-,-,-,13110,PULAU PINANG,-,PERMATANG BENDAHARI,-,PENAGA,04-5793244,KLINIK DESA,2013-12-31T00:00:00,100.3744,5.5791
73,KLINIK DESA KUALA MUDA,-,-,-,13110,PULAU PINANG,-,KUALA MUDA,-,PENAGA,04-5793405,KLINIK DESA,2013-12-31T00:00:00,100.3411,5.5721
74,KLINIK DESA PAYA KELADI,-,-,-,13200,PULAU PINANG,-,PAYA KELADI,-,KEPALA BATAS,04-5754728,KLINIK DESA,2013-12-31T00:00:00,100.4428,5.5385
75,KLINIK KESIHATAN KEPALA BATAS,-,LOT 1466,-,13200,PULAU PINANG,-,MUKIM 6,-,KEPALA BATAS,04-7144820,KLINIK KESIHATAN,2017-02-07T00:00:00,100.4336,5.5165
76,KLINIK KESIHATAN PENAGA,-,LOT 3001,JALAN PENAGA,13110,PULAU PINANG,-,MUKM 5,PENAGA,KEPALA BATAS,04-5791718,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3811,5.5332
77,KLINIK DESA PASIR GEBU,-,-,-,13110,PULAU PINANG,-,PASIR GEBU,-,PENAGA,04-5793246,KLINIK DESA,2013-12-31T00:00:00,100.3724,5.5557
78,KLINIK DESA TELUK AYER TAWAR,-,-,JALAN TELUK AIR TAWAR,13050,PULAU PINANG,-,TELUK AIR TAWAR,-,BUTTERWORTH,04-3515822,KLINIK DESA,2013-12-31T00:00:00,100.3841,5.4879
79,KLINIK DESA PAJAK SONG,-,-,-,13200,PULAU PINANG,-,PAJAK SONG,-,KEPALA BATAS,04-5759171,KLINIK DESA,2013-12-31T00:00:00,100.4264,5.5000
80,KLINIK KESIHATAN BUTTERWORTH,-,LOT 1699,JALAN PANTAI,12000,PULAU PINANG,-,SEKSYEN 4,BAGAN LUAR,BUTTERWORTH,04-3233333,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3685,5.4068
81,KLINIK DESA BAGAN DALAM,-,-,JALAN BAGAN DALAM,12100,PULAU PINANG,-,-,BAGAN DALAM,BUTTERWORTH,04-3284464,KLINIK DESA,2013-12-31T00:00:00,100.3735,5.3952
82,KLINIK DESA PERMATANG PASIR,-,-,-,11000,PULAU PINANG,-,PERMATANG PASIR,-,BALIK PULAU,04-8665539,KLINIK DESA,2013-12-31T00:00:00,100.2115,5.3734
83,KLINIK DESA SUNGAI BURONG,-,-,-,11000,PULAU PINANG,-,SUNGAI BURONG,-,BALIK PULAU,04-8662060,KLINIK DESA,2013-12-31T00:00:00,100.2074,5.3374
84,KLINIK DESA PONDOK UPEH,-,-,-,11000,PULAU PINANG,-,PONDOK UPEH,-,BALIK PULAU,04-8661723,KLINIK DESA,2013-12-31T00:00:00,100.2182,5.3323
85,KLINIK DESA KAMPUNG PERLIS,-,-,-,11020,PULAU PINANG,-,KAMPUNG PERLIS,-,BALIK PULAU,04-8661749,KLINIK DESA,2013-12-31T00:00:00,100.2037,5.3108
86,KLINIK DESA GERTAK SANGGUL,-,-,-,11920,PULAU PINANG,-,GERTAK SANGGUL,-,BAYAN LEPAS,04-6493920,KLINIK DESA,2013-12-31T00:00:00,100.1979,5.2821
87,KLINIK DESA TELUK KUMBAR,-,-,-,11920,PULAU PINANG,-,-,TELUK KUMBAR,BAYAN LEPAS,04-6495606,KLINIK DESA,2013-12-31T00:00:00,100.2299,5.2874
88,KLINIK DESA PERMATANG DAMAR LAUT,-,-,-,11900,PULAU PINANG,-,PERMATANG DAMAR LAUT,-,BAYAN LEPAS,04-6265102,KLINIK DESA,2013-12-31T00:00:00,100.2694,5.2737
89,KLINIK KESIHATAN BAYAN LEPAS,-,LOT 1157,JALAN DATO ISMAIL HASHIM,11900,PULAU PINANG,-,MUKIM 12,-,BAYAN LEPAS,04-6435434,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2619,5.2997
90,KLINIK DESA SUNGAI ARA,-,-,-,11900,PULAU PINANG,-,-,SUNGAI ARA,BAYAN LEPAS,04-6452488,KLINIK DESA,2013-12-31T00:00:00,100.2742,5.3182
91,KLINIK DESA RELAU,-,-,-,11900,PULAU PINANG,-,-,RELAU,BAYAN LEPAS,04-6449230,KLINIK DESA,2013-12-31T00:00:00,100.2769,5.3310
92,KLINIK DESA SUNGAI BATU,-,-,-,11920,PULAU PINANG,-,SUNGAI BATU,-,BAYAN LEPAS,04-6495673,KLINIK DESA,2013-12-31T00:00:00,100.2418,5.2871
93,KLINIK DESA BATU FERRINGGI,-,',JALAN BATU FERRINGGI,12100,PULAU PINANG,1918,-,BATU FERRINGGI,PULAU PINANG,04-8813814,KLINIK DESA,2013-12-31T00:00:00,100.2480,5.4732
94,KLINIK KESIHATAN TANJONG BUNGAH,-,-,-,11200,PULAU PINANG,-,-,-,TANJONG BUNGAH,04-8990953,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2796,5.4620
95,KLINIK KESIHATAN AIR ITAM,-,LOT 322,JALAN BUKIT BENDERA,11500,PULAU PINANG,-,SEKSYEN 3,-,AYER ITAM,04-8283355,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2823,5.4057
96,KLINIK DESA PAYA TERUBONG,-,-,JALAN PAYA TERUBONG,11500,PULAU PINANG,-,-,PAYA TERUBONG,AYER ITAM,04-8275919,KLINIK DESA,2013-12-31T00:00:00,100.2770,5.3978
97,KLINIK DESA THEAN TEIK,-,-,JALAN THEAN TEIK,11500,PULAU PINANG,-,-,-,AYER ITAM,04-8276023,KLINIK DESA,2014-12-15T00:00:00,100.2812,5.3928
98,KLINIK KESIHATAN SUNGAI DUA,-,LOT 2554,-,11700,PULAU PINANG,-,MUKIM 13,-,SUNGAI DUA,04-6422201,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2975,5.3441
99,KLINIK DESA SUNGAI GELUGOR,-,JKR 436,JALAN CALTHROP,11700,PULAU PINANG,-,-,-,GLUGOR,04-6580861,KLINIK DESA,2013-12-31T00:00:00,100.3140,5.3736
100,KLINIK KESIHATAN LEBUH MUNTRI,-,-,LEBUH MUNTRI,10200,PULAU PINANG,-,-,-,GEORGE TOWN,04-2620024,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3360,5.4201
101,KLINIK KESIHATAN BAYAN BARU,-,-,JALAN TENGAH,11950,PULAU PINANG,-,-,BAYAN BARU,BAYAN LEPAS,04-6425102,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2798,5.3197
102,KLINIK 1MALAYSIA ALMA JAYA,-,-,LORONG ALMA JAYA 11,14100,PULAU PINANG,NO. 38 TING. BWH,TAMAN ALMA JAYA,-,BUKIT MERTAJAM,04-5521033,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.4786,5.3257
103,KLINIK 1MALAYSIA BATU KAWAN,-,-,LORONG CEMPAKA 1,14100,PULAU PINANG,NO. 19,TAMAN CEMPAKA,BATU KAWAN,SIMPANG AMPAT,04-5880071,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.4312,5.2711
104,KLINIK KESIHATAN BANDAR TASEK MUTIARA,-,LOT 1866,JALAN TASEK MUTIARA,14100,PULAU PINANG,-,MUKIM 7,BANDAR TASEK MUTIARA,SIMPANG AMPAT,04-5079855,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4919,5.2816
105,KLINIK 1MALAYSIA JELUTONG,-,-,JALAN JELUTONG,10150,PULAU PINANG,NO. 116 TINGKAT BAWAH,-,-,JELUTONG,04-2834070,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.3225,5.4010
106,KLINIK 1MALAYSIA TELUK AIR TAWAR,-,-,LORONG TELUK AIR TAWAR 14,13050,PULAU PINANG,NO. 6 KEDAI 1 TINGKAT,TELUK AIR TAWAR,-,BUTTERWORTH,04-3511080,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.3835,5.4901
107,KLINIK 1MALAYSIA SUNGAI ARA,-,-,TINGKAT KENARI 5,11900,PULAU PINANG,2A-1,TAMAN DESA RIA,SUNGAI ARA,BAYAN LEPAS,04-6463531,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.2690,5.3192
108,KLINIK KESIHATAN BANDAR BARU AYER ITAM,-,-,JALAN ANGSANA,11500,PULAU PINANG,NO. 8,-,BANDAR BARU AYER ITAM,AYER ITAM,04-8266267,KLINIK KESIHATAN,2013-12-31T00:00:00,100.2855,5.3897
109,KLINIK 1MALAYSIA TELUK KUMBAR,-,-,SOLOK SUNGAI BATU 1,11920,PULAU PINANG,-,SUNGAI BATU,TELUK KUMBAR,BAYAN LEPAS,04-6492351,KLINIK 1 MALAYSIA,2014-12-15T00:00:00,100.2416,5.2858
110,KLINIK 1MALAYSIA BANDAR PUTRA BERTAM,-,-,PERSIARAN 4/7,13200,PULAU PINANG,NO. 47 G/F DAN 1/F,-,BANDAR PUTRA BERTAM,KEPALA BATAS,04-5750289,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.4811,5.5197
111,KLINIK 1MALAYSIA BAGAN AJAM,-,-,JALAN PANTAI BERSIH,13000,PULAU PINANG,LOT-C-G-14 & 15,-,BAGAN AJAM,BUTTERWORTH,04-3322053,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.3808,5.4441
112,KLINIK 1MALAYSIA PERDA,RUMAH KELAB,-,-,14000,PULAU PINANG,-,PANGSAPURI TAMAN PERMATA,-,BANDAR PERDA,04-5301091,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.4295,5.3709
113,KLINIK 1MALAYSIA NIBONG TEBAL,-,-,JALAN SUNGAI DAUN,14300,PULAU PINANG,38,TAMAN NIBONG TEBAL JAYA,-,NIBONG TEBAL,04-5933102,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.4752,5.1764
114,KLINIK 1MALAYSIA BATU FERRINGGI,-,-,JALAN SERI BAYU,11650,PULAU PINANG,889,-,BATU FERRINGGI,PULAU PINANG,013-5206911,KLINIK 1 MALAYSIA,2013-12-31T00:00:00,100.2452,5.4716
115,KLINIK PERGIGIAN HOSPITAL BALIK PULAU,HOSPITAL BALIK PULAU,-,JALAN HOSPITAL,11000,PULAU PINANG,-,-,-,BALIK PULAU,04-8669333,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2335,5.3506
116,KLINIK PERGIGIAN BAYAN BARU,KLINIK KESIHATAN BAYAN BARU,-,JALAN TENGAH,11950,PULAU PINANG,TINGKAT 1,-,BAYAN BARU,BAYAN LEPAS,04-6414151,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2797,5.3197
117,KLINIK PERGIGIAN BAYAN LEPAS,KLINIK KESIHATAN BAYAN LEPAS,-,JALAN DATO ISMAIL HASHIM,11900,PULAU PINANG,-,-,-,BAYAN LEPAS,04-6438873,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2620,5.2998
118,KLINIK PERGIGIAN TELUK BAHANG,KLINIK KESIHATAN TELUK BAHANG,-,-,11050,PULAU PINANG,-,-,TELUK BAHANG,-,04-8851951,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.2151,5.4557
119,KLINIK PERGIGIAN MAK MANDIN,KLINIK KESIHATAN MAK MANDIN,-,JALAN MAK MANDIN,13400,PULAU PINANG,-,-,MAK MANDIN,BUTTERWORTH,04-3326967,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3891,5.4211
120,KLINIK PERGIGIAN BUTTERWORTH,KLINIK KESIHATAN BUTTERWORTH,-,JALAN PANTAI,12000,PULAU PINANG,-,-,BAGAN LUAR,BUTTERWORTH,04-3239831,KLINIK PERGIGIAN,2014-12-15T00:00:00,100.3684,5.4068
