"index","Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
14,"Klinik Lee Dan Surgeri",1,0,1,0,"","","14, Jalan Indah 16/5, Taman Bukit Indah 81200 Johor Bahru, Johor","","Johor"
15,"Poliklinik Penawar",1,0,1,0,"","","No. 11, Jalan Kesum, Taman Istimewa 81000 Johor Bahru, Johor","","Johor"
16,"L'Medina Clinic",1,0,1,0,"","","No. 10, Jalan Rotan Utama, Taman Sri Jaya, 83000 Batu Pahat, Johor","","Johor"
17,"Klinik Union Medic (Kota Puteri)",1,0,1,0,"","","No. 2 (Tingkat Bawah), Jalan Kota 1/4, Taman Cahaya Kota Puteri, 81750 Masai, Johor","","Johor"
18,"Poliklinik Penawar",1,0,1,0,"","","No. 30E, Jalan Tun Sri Lanang, 81900 Kota Tinggi, Johor","","Johor"
19,"Klinik Kenko",1,0,1,0,"","","No. 9, Ground Floor, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor","","Johor"
20,"Klinik Tan",1,0,1,0,"","","No. 56, Jalan Perjiranan 2, Bandar Dato' Onn, 81100 Johor Bahru, Johor","","Johor"
21,"Klinik Pengerang Gateway Healthcare Sdn Bhd",1,0,1,0,"","","5819   Ground	Floor (Bm2569), Kampung Lepau, 81600 Pengerang, Johor","","Johor"
23,"Poliklinik Penawar",1,0,1,0,"","","No. 397 G, Jalan Jemaluang, 86800 Mersing, Johor","","Johor"
24,"Poliklinik Penawar",1,0,1,0,"","","No. 2, Jalan Kebudayaan 5, Taman Universiti, 81000 Johor Bahru, Johor","","Johor"
25,"Polyclinic Healthcare And Surgery",1,0,1,0,"","","14, Jalan Seri Orkid 1, Taman Seri Orkid, 81300 Skudai, Johor","","Johor"
27,"Klinik Mesra Plaza",1,0,1,0,"","","No. 21, Jalan Balau, Taman Melodies, 80250 Johor Bahru, Johor","","Johor"
28,"Poliklinik Penawar",1,0,1,0,"","","No. 3, Jalan Delima, Taman Samudera, 86200 Simpang Renggam, Johor","","Johor"
29,"Bp Diagnostik",1,0,1,0,"","","No. 53-G, Jalan Rosmerah 2/10, Taman Johor Jaya, 81100 Johor Jaya, Johor","","Johor"
30,"U.N.I Klinik",1,0,1,0,"","","No 1, Tingkat Bawah, Jalan Parit Batu Nampak, Bukit Bakri, 84200 Muar, Johor","","Johor"
32,"Bp Diagnostic",1,0,1,0,"","","18 & 20, Jalan Haji Manan, 86000 Kluang, Johor","","Johor"
33,"Bp Diagnostik",1,0,1,0,"","","5-1 & 5-2 (Tingkat Bawah), Jalan Zabedah, 83000 Batu Pahat, Johor","","Johor"
34,"Bp Diagnostik",1,0,1,0,"","","No.121 & 122, Jalan Genuang, 85000 Segamat, Johor","","Johor"
35,"Bp Diagnostik",1,0,1,0,"","","67 & 67A, Jalan Harimau Tarum, Taman Century, 80250 Johor Bahru, Johor","","Johor"
36,"Bp Diagnostik",1,0,1,0,"","","No 18 & 19 (Tingkat Bawah), Jalan Raya, Taman Seraya, 81000 Kulai Jaya, Johor","","Johor"
37,"Klinik Bp Diagnostik",1,0,1,0,"","","Tower 1, No. 68 (Ground Floor), Jalan Pertama 1, Pusat Perdagangan Danga Utama, 81300 Skudai, Johor","","Johor"
38,"Bp Diagnostik",1,0,1,0,"","","No. 34 (First Floor & Ground Floor), Jalan Bakri, 84000 Muar, Johor","","Johor"
39,"Klinik Mediviron Taman Scientex",1,0,1,0,"","","No 23-A(Gf), Jalan Belatuk 2, Taman Scientex, 81700 Pasir Gudang, Johor","","Johor"
41,"Biomedicare Clinic",1,0,1,0,"","","No.20	(Aras	Bawah),	Eko	Perniagaan	1/3,	Taman Ekoperniagaan, 81100 Johor Bahru, Johor","","Johor"
43,"Klinik Sinaran",1,0,1,0,"","","No 43A Ground Floor, Jalan Kelisa 1, Taman Scientex, 81700 Pasir Gudang, Johor","","Johor"
45,"Klinik Firdaus",1,0,1,0,"","","No 39, (Ground Floor), Jalan Padi Emas 1/8, Bandar Baru Uda, 81200 Johor Bahru, Johor","","Johor"
47,"Klinik Yap & Partners",1,0,1,0,"","","40G, Jalan Pendekar 13, Taman Ungku Tun Aminah, 81300 Skudai, Johor","","Johor"
48,"Klinik Yap",1,0,1,0,"","","19 & 20 (Ground Floor), Jalan Kenanga 29/1, Bandar Indahpura, 81000 Kulai, Johor","","Johor"
49,"Klinik Johor",1,0,1,0,"","","02-1A Jalan Bandar, Pusat Perniagaan, 81700 Pasir Gudang, Johor","","Johor"
50,"Orchid Family Polyclinic",1,0,1,0,"","","No. 50, Jalan Serampang, Taman Pelangi, 80400 Johor Bahru, Johor","","Johor"
51,"Poliklinik Afiat",1,0,1,0,"","","34 (Ground Floor) Jalan Perjiranan 2, Bandar Dato' Onn,
81100 Johor Bahru, Johor","","Johor"
52,"Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","31 Jalan Medan Nusa Perintis 6, Nusa Perintis Ii, Bandar Nusajaya, 81500 Gelang Patah, Johor","","Johor"
54,"Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","37, Jalan Besi 1, Taman Sri Putri, 81300 Skudai, Johor","","Johor"
56,"Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","Sh-100, Jalan Sawah, Pekan Nenas, 81500 Pontian, Johor","","Johor"
58,"Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","3, Jalan Niaga 8, Bandar Kota Tinggi, 81900 Kota Tinggi, Johor","","Johor"
60,"Klinik Apm Kota Tinggi",1,0,1,0,"","","No.49, Ground Floor, Jalan Baiduri, Taman Daiman Jaya, 81900 Kota Tinggi, Johor","","Johor"
61,"Poliklinik Taj",1,0,1,0,"","","27, Jalan Sri Perkasa 2/1, Taman Tampoi Utama, 81200 Johor Bahru, Johor","","Johor"
63,"Poliklinik Siva",1,0,1,0,"","","No 141, Jalan Jambu Air, Bandar Indahpura, 81000 Kulaijaya, Johor","","Johor"
64,"Klinik Muar 24 Jam",1,0,1,0,"","","1-29 (Ground Floor), Jalan Kesang, Tanjung Agas
84000 Ledang, Johor","","Johor"
65,"Klinik Apm Desaru",1,0,1,0,"","","No A12-01, Tingkat Bawah, Jalan Cengal 1, Taman Desaru Utama, 81930 Bandar Penawar, Johor","","Johor"
66,"Klinik Pembangunan Sdn Bhd",1,0,1,0,"","","Plo 3, Jalan Pekeliling, P.O. Box 77, 81700 Pasir Gudang, Johor","","Johor"
67,"Klinik Cahaya",1,0,1,0,"","","No. 4, Tingkat Bawah, Jalan Seri Orkid 35, Taman Seri Orkid, 81300 Skudai, Johor","","Johor"
68,"Poliklinik Anggerik",1,0,1,0,"","","2, Jalan Anggerik 2/3, Taman Anggerik, 81200 Johor Bahru, Johor","","Johor"
70,"Klinik Mazmedic",1,0,1,0,"","","No. 35, Tingkat Bawah, Jalan Serangkai 11, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor","","Johor"
71,"Poliklinik Gan Sdn. Bhd.",1,0,1,0,"","","34 & 34A, Jalan Sulam, Taman Sentosa, 80150 Johor Bahru, Johor","","Johor"
72,"Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","99, Jalan Cempedak, Taman Tiram Baru, 81800 Ulu Tiram, Johor","","Johor"
74,"Ns Medika Clinic",1,0,1,0,"","","No 3, Ground Floor, Jalan Sentral 24, Taman Nusa Sentral, Iskandar Puteri, 79100 Nusajaya, Johor","","Johor"
75,"Klinik Promedic Tongkang Pecah",1,0,1,0,"","","3, Tingkat Bawah, Jalan Kapal Layar Utama, Taman Kapal Layar, Tongkang Pechah, 83010 Batu Pahat, Johor","","Johor"
77,"Poliklinik Dr Bala",1,0,1,0,"","","No.86, Jalan Besar, Taman Munsyi Ibrahim, 81200 Johor Bahru, Johor","","Johor"
78,"Poliklinik Rozikin",1,0,1,0,"","","35, Jalan 9/17, Perjiranan 9, Taman Air Biru, 81700 Pasir Gudang, Johor","","Johor"
79,"Primer Cherang Clinic Johor Bahru 24 Jam",1,0,1,0,"","","No.2 & No. 6 (Tingkat Bawah), Jalan Aliff 3, Taman Damansara Aliff, 81200 Johor Bahru, Johor","","Johor"
80,"Klinik Mohan",1,0,1,0,"","","No. 30, Jalan Lembah 3, Taman Desa Jaya, 81100 Johor Bahru, Johor","","Johor"
81,"Klinik Makmur",1,0,1,0,"","","19, Bawah, Jalan Lada Hitam, Taman Makmur, Batu 3 Jalan Mersing, 86000 Kluang, Johor","","Johor"
82,"Polyclinic My Family",1,0,1,0,"","","No. 19-01, (Tingkat Bawah) Jalan Cantik 20, Taman Pelangi Indah, 81800 Ulu Tiram, Johor","","Johor"
83,"Poliklinik T & T 15 Jam",1,0,1,0,"","","21 (Gf), Jalan Mutiara 1/11, Taman Mutiara Mas, 81300 Skudai, Johor","","Johor"
84,"Klinik Elizabeth",1,0,1,0,"","","No 10, Jalan Mengkudu, Taman Makmur, 83000 Batu Pahat, Johor","","Johor"
85,"Klinik Keluarga I-Sihat",1,0,1,0,"","","No 4 & 6, Ground Floor, Jalan Perjiranan 4/1, Bandar Dato Onn, 81100 Johor Bahru, Johor","","Johor"
86,"Poliklinik Rozikin",1,0,1,0,"","","No. 52, Jalan Pengkalan 5, Taman Pasir Emas, Kg. Pasir Putih, 81700 Pasir Gudang, Johor","","Johor"
87,"Poliklinik Promed & Surgeri",1,0,1,0,"","","No. 12, Jalan Indah 5/4, Taman Bukit Indah, 81200 Johor Bahru, Johor","","Johor"
89,"Qualitas Health Poliklinik Puteri Dan Surgeri",1,0,1,0,"","","No 10 Aras Bawah, Jalan Perniagaan Jaya 1, Taman Mas Jaya, 84000 Muar, Johor","","Johor"
90,"Poliklinik Rozikin",1,0,1,0,"","","No. 36, Jalan Harmonium 21/9, Taman Desa Tebrau, 81100 Johor Bahru, Johor","","Johor"
91,"Polyclinic My Family",1,0,1,0,"","","No. 32, Tingkat Bawah, Jalan Dian 8, Taman Munsyi Ibrahim, 81200 Johor Bahru, Johor","","Johor"
92,"Polyclinic My Family",1,0,1,0,"","","No. 41 (Ground Floor), Jalan Pi 8/8, Taman Pulai Indah, 81300 Skudai, Johor","","Johor"
93,"My Family & Surgery",1,0,1,0,"","","22, Jalan Indah 8/15, Taman Bukit Indah, 81200 Johor Bahru, Johor","","Johor"
94,"Klinik Y.M. Tan & Surgeri",1,0,1,0,"","","102, Jalan Nb 2 1/4, Taman Nusa Bestari 2, 81300 Skudai, Johor","","Johor"
95,"Klinik Ats & Surgeri",1,0,1,0,"","","No 26, Ground Floor, Jalan Lembah 16, Bandar Seri Alam, 81750, Johor Bahru, Johor","","Johor"
96,"Poliklinik Aalddrich",1,0,1,0,"","","No. 59 (Tingkat Bawah), Jalan Rawa, Taman Perling, 81200 Johor Bahru, Johor","","Johor"
97,"Klinik Fan",1,0,1,0,"","","No 17, Aras Bawah, Jalan Setia Tropika 1/17, Taman Setia Tropika, 81200 Johor Bahru, Johor","","Johor"
98,"Klinik Kurnia",1,0,1,0,"","","35, Jalan Orchard Heights 1, Taman Orchard Heights, 83000 Batu Pahat, Johor","","Johor"
99,"Klinik Adham (Cawangan Mutiara Rini)",1,0,1,0,"","","No. 19, Jalan Jasa 25, Prisint Jasa, Mutiara Rini, 81300 Johor Bahru, Johor","","Johor"
100,"Poliklinik Kempas Indah",1,0,1,0,"","","15, (Ground Floor), Jalan Kempas Utama 1/2, Taman Kempas Utama, 81300 Johor Bahru, Johor","","Johor"
102,"Rinicare Health Clinic",1,0,1,0,"","","No. 63, Jalan Utama 34, Taman Mutiara Rini, 81300 Skudai, Johor","","Johor"
103,"Klinik Century",1,0,1,0,"","","75, Jalan Sutera 1, Taman Sentosa, 80150 Johor Bahru, Johor","","Johor"
104,"Klinik Abiram & Surgeri",1,0,1,0,"","","No 145, (Ground Floor), Jalan Nb 2 2/2, Taman Nusa Bestari 2, 79150 Iskandar Puteri, Johor","","Johor"
105,"Klinik Sentosa",1,0,1,0,"","","No. 43, Jalan Sulam, Taman Sentosa, 80150 Johor Bahru, Johor","","Johor"
106,"Emanora Clinic Medical & Surgery",1,0,1,0,"","","No. 12, Jalan Budaya, Taman Budaya, 83000 Batu Pahat, Johor","","Johor"
107,"Excel Mediclinic",1,0,1,0,"","","No 5-G, Jalan Tampoi, Susur 1, 81200 Johor Bahru, Johor","","Johor"
108,"Klinik Pancasila Saleng",1,0,1,0,"","","19, Jalan Pancasila, Taman Pancasila, Saleng, 81400 Senai, Johor","","Johor"
110,"Irvine Clinic",1,0,1,0,"","","#01-146, #01-169 (Gf), Mercu 1, Jalan Tanjung Puteri 1, R & F Tanjung Puteri, 80300 Johor Bahru, Johor","","Johor"
111,"Polyclinic Healthcare And Surgery",1,0,1,0,"","","No 585, Gf, Jalan Persisiran Perling 1, Taman Perling, 81200 Johor Bahru, Johor","","Johor"
112,"Klinik Lee Dan Surgeri",1,0,1,0,"","","55, Jalan Genuang, 85000 Segamat, Johor","","Johor"
113,"Poliklinik Gelang Patah",1,0,1,0,"","","No. 39, Jalan Medan Nusa Perintis 6, Taman Nusa Perintis 2, 81550 Gelang Patah, Johor","","Johor"
114,"Poliklinik Qms Taman Perling",1,0,1,0,"","","364, Jalam Simbang, Taman Perling, 81200 Johor Bahru, Johor","","Johor"
115,"Polyclinic Healthcare And Surgery",1,0,1,0,"","","No. 15-01 (Gf), Jalan Nusaria 11/1, Taman Nusantara, 79200 Iskandar Puteri, Johor","","Johor"
116,"Poliklinik Al-Amin (Bp)",1,0,1,0,"","","No 6-1, Tingkat Bawah, Jalan Timun, Taman Anggerik, Tongkang Pechah, 83010 Batu Pahat, Johor","","Johor"
117,"Klinik M.Ghana",1,0,1,0,"","","13-A, Jalan Station, 86000 Kluang, Johor","","Johor"
118,"Pris Family Clinic",1,0,1,0,"","","No. 7, Tingkat Bawah, Jalan Bistari 4/9, Taman Yayasan, 85010 Segamat, Johor","","Johor"
119,"Klinik Segamat",1,0,1,0,"","","15-1, Jalan Emas, Taman Batu Hampar, 85000 Segamat, Johor","","Johor"
120,"Kelinik Sawit",1,0,1,0,"","","4, Jalan Prisma 1, Taman Prisma, Kelapa Sawit, 81030 Kulai, Johor","","Johor"
121,"Klinik Keluarga Dan Surgeri",1,0,1,0,"","","39, Susur Larkin Perdana 1, Persiaran Larkin Perdana Taman Larkin Perdana, 80350 Johor Bahru, Johor","","Johor"
122,"Clinic Friends & Family",1,0,1,0,"","","31 (Gf), Jalan Mutiara 1/11, Taman Mutiara Mas, 81300 Skudai, Johor","","Johor"
124,"Klinik Rafeeq & Nurul",1,0,1,0,"","","No. 67, Jalan Hee Seng, Sungai Rengit, 81620 Pengerang, Johor","","Johor"
125,"Poliklinik Qms 24 Jam",1,0,1,0,"","","No. 9A (Tingkat Bawah), Jalan Belatuk 2, Taman Scientex, 81700 Pasir Gudang, Johor","","Johor"
126,"Klinik Mm Care",1,0,1,0,"","","No. 31-01 (Gf), Jalan Nusaria 11/1, Taman Nusantara, 81550 Iskandar Puteri, Johor","","Johor"
127,"Klinik Pagoh",1,0,1,0,"","","82-4 Tingkat Bawah, Jalan Besar, Pekan Pagoh, 84600 Muar, Johor","","Johor"
128,"Klinik Sia Dan Surgeri",1,0,1,0,"","","No 121 & 123, Jalan Pahlawan 1, Taman Ungku Tun Aminah, 81300 Skudai, Johor","","Johor"
129,"Klinik As-Syakirin",1,0,1,0,"","","No 9Gf, Jalan Jaya, Pusat Perniagaan Parit Jarum, Bukit Gambir, 84800 Tangkak, Johor","","Johor"
130,"Klinik Keluarga I-Sihat",1,0,1,0,"","","No. 12, Jalan Serangkai 18, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor","","Johor"
131,"Poliklinik Bio-Sucinas",1,0,1,0,"","","No.2, Jalan Padi 2, Bandar Baru Uda, 81200 Johor Bahru, Johor","","Johor"
132,"Klinik Sayang",1,0,1,0,"","","No. 36, Taman Tangkak Jaya, 84900 Tangkak, Johor","","Johor"
133,"Klinik Singh Dan Surgeri",1,0,1,0,"","","No. 31, Jalan Temenggong 10, Taman Ungku Tun Aminah, 81300 Skudai, Johor Bahru, Johor","","Johor"
134,"Poliklinik Rozikin",1,0,1,0,"","","No 12, Jalan Setia 3/1, Taman Setia Indah, 81100 Johor Bahru, Johor","","Johor"
135,"Klinik Orkid",1,0,1,0,"","","36, Jalan Seri Orkid 1, Taman Seri Orkid, Skudai, 81300 Johor Bahru, Johor","","Johor"
136,"Klinik Seri Bahagia",1,0,1,0,"","","3, Jalan Sri Bahagia 5, Taman Sri Bahagia, 81200 Johor Bahru, Johor","","Johor"
137,"Federal Clinic",1,0,1,0,"","","No. 34, Jalan Harimau Tarum, Century Garden, 80250 Johor Bahru, Johor","","Johor"
139,"Klinik Medicare",1,0,1,0,"","","228 (Ground Floor), Jalan Kenanga 29/2, Bandar Indahpura,
81000 Kulai, Johor","","Johor"
140,"Klinik Tan",1,0,1,0,"","","No. 22, Jalan Setia 7/18, Taman Setia Indah, 81100 Johor Bahru, Johor","","Johor"
141,"Poliklinik Sihat 24 Jam Taman Bukit Dahlia",1,0,1,0,"","","No 22 (Tingkat Bawah), Jalan Sejambak 14, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor","","Johor"
142,"Poliklinik Pekan Nenas",1,0,1,0,"","","Dh-52A, Jalan Besar, Pekan Nanas, 81500 Pontian, Johor","","Johor"
143,"Klinik Asia Bakri",1,0,1,0,"","","No. 1-1 & 1-2, Jalan Bakri, Taman Bakri Indah, 84200 Muar, Johor","","Johor"
144,"Amd Clinic",1,0,1,0,"","","71, (Ground Floor) Jalan Serangkai 4, Taman Bukit Dahlia,
81700 Pasir Gudang, Johor","","Johor"
145,"Klinik Soon",1,0,1,0,"","","3, Jln Putra 2/23, Bandar Putra, 85000 Segamat, Johor","","Johor"
147,"Care Family Clinic",1,0,1,0,"","","5, Jalan Kota 1, Taman Cahaya Kota Putri, 81750 Johor Bahru, Johor","","Johor"
148,"Poliklinik Rozikin & Surgeri",1,0,1,0,"","","No. 41, Jalan Sri Bahagia 5, Taman Sri Bahagia, 81200 Johor Bahru, Johor","","Johor"
149,"Poliklinik B. Suthakar Dan Surgeri",1,0,1,0,"","","No. 1, Jalan Selamat, Taman Mas, 81000 Kulai, Johor","","Johor"
150,"Poliklinik Norbi (Cawangan Taman Cendana)",1,0,1,0,"","","No. 1, Jalan Cendana 1, Taman Cendana, 81700 Pasir Gudang, Johor","","Johor"
151,"Poliklinik Aman",1,0,1,0,"","","No. 3, Jalan Sentosa 1, Taman Parit Yusof, Sg. Balang, 83600 Muar, Johor","","Johor"
152,"Ams Care Clinic",1,0,1,0,"","","No. 2, (Tinggat Bawah), Jalan Bestari 2/2, Taman Nusa Bestari, 81300 Skudai, Johor","","Johor"
153,"Klinik Zainab",1,0,1,0,"","","No. 1, Bangunan Sbkk, Jalan Pegawai, 83000 Batu Pahat, Johor","","Johor"
154,"Klinik Teva",1,0,1,0,"","","Wisma Peladang, Ptb 821, Tingkat Bawah, Jalan Payamas, 84900 Tangkak, Johor","","Johor"
155,"Klinik Medic Care",1,0,1,0,"","","No. 30, Jalan Johar 3/2, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor","","Johor"
156,"Klinik Prisma Bayu",1,0,1,0,"","","No 35, (Gf) Jalan Bayu 7/1, Taman Nusa Bayu, 79200 Nusa Jaya, Johor Bahru","","Johor"
157,"Klinik Famili",1,0,1,0,"","","No. 4 (Tingkat Bawah), Jalan Setia Tropika 1/1, Taman Setia Tropika, 81200 Johor Bahru, Johor","","Johor"
159,"Klinik Lai",1,0,1,0,"","","No. 42 (Ground Floor), Jalan Setia Tropika 1/24, Taman Setia Tropika, 81200 Johor Bahru, Johor","","Johor"
160,"Poliklinik Dan Surgeri Medikhtiar",1,0,1,0,"","","46, Jalan Titiwangsa 3, Taman Tampoi Indah, 81200 Johor Bahru, Johor","","Johor"
161,"Klinik Daiman",1,0,1,0,"","","105, Jalan Keris Satu, Taman Sri Tebrau, 80050 Johor Bahru, Johor","","Johor"
162,"Klinik Acg Acg Healthcare Sdn. Bhd.",1,0,1,0,"","","No. 4, Jalan Dedap 15, Taman Johor Jaya, 81100 Johor Bahru, Johor","","Johor"
163,"Klinik Asia Acg Healthcare Sdn. Bhd.",1,0,1,0,"","","111, Jalan Perisai, Taman Sri Tebrau, 80050 Johor Bahru, Johor","","Johor"
164,"Klinik Ho",1,0,1,0,"","","No. 1766, Jalan Senai Utama 1/2, Taman Senai Utama, 81400 Senai, Johor","","Johor"
165,"Klinik Boon Lim",1,0,1,0,"","","15 (Ground Floor), Jalan Pejabat Pos Rengit, 81300 Rengit, Batu Pahat, Johor","","Johor"
166,"Klinik Sia & Partners",1,0,1,0,"","","No.77, Jalan Austin Heights 3, Taman Austin Heights, 81100 Johor Bahru, Johor","","Johor"
167,"Klinik Yap & Partners",1,0,1,0,"","","23 (Ground Floor) Jalan Tanjong 2, Taman Desa Cemerlang,
81800 Ulu Tiram, Johor","","Johor"
168,"K-Health Medical Clinic",1,0,1,0,"","","31, Jalan Harmonium 35/1, Taman Desa Tebrau, 81100 Johor Bahru, Johor","","Johor"
169,"Klinik Promedic Tongkang Pechah",1,0,1,0,"","","3, Tingkat Bawah, Jalan Kapal Layar, Tongkang Pecah, 83010 Batu Pahat, Johor","","Johor"
170,"Klinik Adham Cawangan Kelapa Sawit",1,0,1,0,"","","No 3, Jln Okid 1, Tmn Wedo, Kelapa Sawit, 81030 Kulai Johor","","Johor"
171,"Klinik Century",1,0,1,0,"","","17, Jalan Molek 2/4 Taman Molek, 81100 Johor Bahru, Johor","","Johor"
172,"Ams Care Clinic",1,0,1,0,"","","No.2 (Tingkat Bawah) Jalan Bestari 2/2 Taman Nusa Bestari , 79150 Iskandar Puteri, Johor","","Johor"
173,"Klinik Faizal Dan Rakan- Rakan Sdn. Bhd.",1,0,1,0,"","","No. 54, Jalan Padi Satu, Bandar Baru Uda, 81200 Johor Bahru, Johor","","Johor"
174,"Kl Medical Clinic (Cawangan Johor)",1,0,1,0,"","","No 31(Tingkat Bawah) Jalan Nb2 2/2, Taman Nusa Bestari 2, 79150 Nusajaya, Johor","","Johor"
175,"Nusa Medical Clinic Sdn Bhd",1,0,1,0,"","","No. 42, Jalan Medan Perintis 12, Taman Nusa Perintis 3, Gelang Patah, 81550 Bandar Nusajaya, Johor","","Johor"
176,"Klinik Muar 24 Jam",1,0,1,0,"","","No 67 Ground Floor, Jalan Hashim, 84000 Muar, Johor","","Johor"
177,"Klinik An-Najjah",1,0,1,0,"","","82, (Tingkat Bawah) Jalan Bersinar, Taman Cantik, 81000 Kulai, Johor","","Johor"
178,"Hong Kung Clinic",1,0,1,0,"","","6, Jalan Fatimah, 83000 Batu Pahat, Johor","","Johor"
179,"Poliklinik Pekan Nenas",1,0,1,0,"","","No 12-01, Jalan Nusaria 11, Taman Nusantara, 81550 Gelang Patah, Johor","","Johor"
180,"Klinik Suba",1,0,1,0,"","","No. 27, Jalan Dato Teoh Siew Khor, 86000 Kluang, Johor","","Johor"
181,"Klinik Suba",1,0,1,0,"","","78, Jalan Abu Bakar, 86600 Paloh, Johor","","Johor"
182,"Poliklinik Kuek",1,0,1,0,"","","No. 41, Jalan Perdana 3/1, Taman Sri Pulai Perdana 2, 81300 Johor Bahru, Johor","","Johor"
184,"Klinik Asia Bukit Pasir",1,0,1,0,"","","No. 1-7, Jalan Panchor, Taman Bukit Pasir, 84300 Bukit Pasir, Muar, Johor","","Johor"
185,"Kelinik Parit Jawa",1,0,1,0,"","","No. 8, Jalan Omar, Parit Jawa, 84150 Muar, Johor","","Johor"
186,"Klinik L'Medina",1,0,1,0,"","","No 7 Aras Bawah, Jalan Sri Sulong, Taman Sri Sulong Mewah, Mukim Simpang Kiri, Bandar Penggaram, 83500 Batu Pahat, Johor","","Johor"
187,"Poliklinik Harvin & Adeline",1,0,1,0,"","","No 45 (Gf), Jalan Eco Cascadia 6/1, Taman Setia Eco Cascadia, 81100 Johor Bahru, Johor","","Johor"
188,"Poliklinik Qms Taman Bukit Tiram",1,0,1,0,"","","No. 31 (Tingkat Bawah), Jalan Ledang 25, Taman Bukit Tiram, 81800 Ulu Tiram, Johor","","Johor"
189,"Klinik Ar-Raudah Damai",1,0,1,0,"","","No. 3096, Jalan Merbau 1, Bandar Putra, 81000 Kulaijaya, Johor","","Johor"
190,"Klinik Ar Raudah Damai (Cawangan Senai)",1,0,1,0,"","","No 19 Tingakt Bawah, Jalan Seni, 81400 Senai, Johor","","Johor"
191,"Klinik Handal Dan Surgeri",1,0,1,0,"","","No.5 (Tingkat Bawah), Jalan Pakis Taman Handal, Senai 81400 Kulai Johor","","Johor"
192,"Medicus Poliklinik Dan Surgeri",1,0,1,0,"","","No. 85 (Ground Floor) Jalan Anggerik Emas 1 Taman Anggerik Emas 81300 Skudai, Johor","","Johor"
193,"Klinik Mycare",1,0,1,0,"","","No.3, Tingkat Bawah, Jalan Kelapa, Taman Lian Seng, 86000 Bandar Kluang, Johor","","Johor"
194,"Klinik Looi",1,0,1,0,"","","21 (Ground Floor), Jalan Gaya 27, Taman Gaya, 81800 Ulu Tiram, Johor","","Johor"
195,"Klinik Adham (Tebrau)",1,0,1,0,"","","No.41 (Ground Floor) Jalan Sagu 33, Taman Daya 81000 Johor Bahru, Johor","","Johor"
196,"Klinik Apm Bandar Tenggara",1,0,1,0,"","","No. 99-7, Jalan Anggerik 4/1, Taman Anggerik, 81440 Bandar Tenggara, Johor","","Johor"
197,"Poliklinik Unik 24 Jam",1,0,1,0,"","","No. 342-C, Tingkat Bawah, Taman Seraya Indah, 09000 Kulim, Kedah","","Kedah"
198,"Poliklinikperdana Langkawi",1,0,1,0,"","","Lot 110, Pusat Perniagaan Kelana Mas, 07000 Kuah, Langkawi, Kedah","","Kedah"
